path,primary_class,secondary_classes,retarget_blockers,notes
"src/opencodehx/BuildInfo.hx","portable","none","none","Haxe domain/model code; retarget after replacing any listed secondary seams."
"src/opencodehx/Main.hx","node-host","ai-sdk;generated-ts-only;node-api","Node API adapter;genes-ts-only type surface","Application logic currently crosses Node process/filesystem/network/package-manager seams; split or retarget those host adapters first."
"src/opencodehx/account/AccountError.hx","portable","none","none","Haxe domain/model code; retarget after replacing any listed secondary seams."
"src/opencodehx/account/AccountStore.hx","node-host","generated-ts-only;js-runtime;node-api;sqlite;unknown-boundary;web-host","Promise/async lowering;Node API adapter;genes-ts-only type surface;runtime unknown boundary","Haxe domain/model code; retarget after replacing any listed secondary seams."
"src/opencodehx/acp/AcpAgent.hx","portable","none","none","Haxe domain/model code; retarget after replacing any listed secondary seams."
"src/opencodehx/agent/AgentRuntime.hx","portable","none","none","Haxe domain/model code; retarget after replacing any listed secondary seams."
"src/opencodehx/auth/AuthStore.hx","node-host","generated-ts-only;node-api;unknown-boundary","Node API adapter;genes-ts-only type surface;runtime unknown boundary","Haxe domain/model code; retarget after replacing any listed secondary seams."
"src/opencodehx/bus/BusRuntime.hx","portable","unknown-boundary","runtime unknown boundary","Haxe domain/model code; retarget after replacing any listed secondary seams."
"src/opencodehx/bus/BusStreamRuntime.hx","portable","none","none","Haxe domain/model code; retarget after replacing any listed secondary seams."
"src/opencodehx/bus/EventBus.hx","portable","none","none","Haxe domain/model code; retarget after replacing any listed secondary seams."
"src/opencodehx/cli/Cli.hx","node-host","ai-sdk;generated-ts-only;js-runtime;node-api;unknown-boundary","Promise/async lowering;Node API adapter;genes-ts-only type surface;runtime unknown boundary","Application logic currently crosses Node process/filesystem/network/package-manager seams; split or retarget those host adapters first."
"src/opencodehx/cli/CliSurface.hx","node-host","none","none","Application logic currently crosses Node process/filesystem/network/package-manager seams; split or retarget those host adapters first."
"src/opencodehx/cli/ErrorFormatter.hx","node-host","generated-ts-only;unknown-boundary","genes-ts-only type surface;runtime unknown boundary","Application logic currently crosses Node process/filesystem/network/package-manager seams; split or retarget those host adapters first."
"src/opencodehx/command/CommandRuntime.hx","portable","none","none","Haxe domain/model code; retarget after replacing any listed secondary seams."
"src/opencodehx/config/ConfigAgent.hx","generated-ts-only","unknown-boundary","genes-ts-only type surface;runtime unknown boundary","Haxe domain/model code; retarget after replacing any listed secondary seams."
"src/opencodehx/config/ConfigCommand.hx","portable","none","none","Haxe domain/model code; retarget after replacing any listed secondary seams."
"src/opencodehx/config/ConfigDependencyRuntime.hx","node-host","node-api;unknown-boundary","Node API adapter;runtime unknown boundary","Haxe domain/model code; retarget after replacing any listed secondary seams."
"src/opencodehx/config/ConfigEntryName.hx","node-host","node-api","Node API adapter","Haxe domain/model code; retarget after replacing any listed secondary seams."
"src/opencodehx/config/ConfigError.hx","portable","none","none","Haxe domain/model code; retarget after replacing any listed secondary seams."
